sample_id,collection_date,lineage
SRR27018735,2023-09-22,XBB.1.5.10
SRR27018736,2023-09-22,XBB.2.3
SRR27018737,2023-09-22,EG.5.1.13
SRR27018738,2023-09-22,EG.5.1
SRR27018739,2023-09-22,XCM
SRR27018740,2023-09-22,HN.4
SRR27018741,2023-09-23,XBB.1.16
SRR27018742,2023-09-23,JD.1.1.7
SRR27018743,2023-09-23,HY.1
SRR27018744,2023-09-23,FL.1.5.1
SRR27018745,2023-09-24,XBB.1.5
SRR27018746,2023-09-23,EG.5.1.1
SRR27018747,2023-09-23,HV.1
SRR27018748,2023-09-13,HZ.1
SRR27018749,2023-09-12,XBB.1.5.1
SRR27018750,2023-09-12,XBB.1.16.6
SRR27018751,2023-09-11,EG.5.1.4
SRR27018780,2023-09-01,FL.2.5
SRR27018783,2023-09-07,FL.1.5.1
SRR27018785,2023-09-02,XBB.1.42.2
SRR27018786,2023-09-23,XBB.1.16.1
SRR27018787,2023-09-23,EG.5.1.14
SRR27018788,2023-09-22,XBB.1.16.1
SRR27199875,2023-09-07,EG.5
SRR27199876,2023-09-14,GK.1.1.1
SRR27199878,2023-09-06,XBB.1.5.55
SRR27199881,2023-09-15,HK.3
SRR27199882,2023-09-18,XBB.1.16.6
SRR27199884,2023-09-01,EG.5.1.1
SRR27199886,2023-09-07,GJ.1.2
SRR27199891,2023-09-18,FL.1.5.1
SRR27199900,2023-09-11,EG.5.1.4
SRR27199901,2023-09-12,HK.29
SRR27199905,2023-09-17,EG.5.1.3
SRR27199909,2023-09-14,XBB.1.16.6
SRR27199912,2023-09-05,XBB.1.16.1
SRR27199917,2023-09-12,EG.5.1.4
SRR27199924,2023-09-06,EG.5.1.1
SRR27199925,2023-09-05,EG.5.1.4
SRR27199926,2023-09-01,EG.5.1.4
SRR27199930,2023-09-06,HY.1
SRR27199933,2023-09-05,EG.5.1.3
SRR27199934,2023-09-08,XBB.1.5
SRR27199942,2023-09-13,FL.1.5.1
SRR27199944,2023-09-05,XBB.1.16.6
SRR27199948,2023-09-16,FL.1.5.1
SRR27199949,2023-09-12,XBB.1.16.6
SRR27199950,2023-09-05,HV.1
SRR27199951,2023-09-13,GZ.1
SRR27199954,2023-09-14,XBB.1.5.10
SRR27199957,2023-09-09,HK.1
SRR27199960,2023-09-01,GJ.1.2.5
SRR27199962,2023-09-07,XBB.1.16.1
SRR27199969,2023-09-12,XBB.1.5.10
SRR27199971,2023-09-03,EG.5.1.4
SRR27199974,2023-09-04,FL.4
SRR27199976,2023-09-05,EG.5.1.6
SRR27199977,2023-09-04,EG.5.1.1
SRR27199979,2023-09-12,EG.5.1.13
SRR27199982,2023-09-07,EG.5.1.3
SRR27199985,2023-09-11,EG.5.1
SRR27199988,2023-09-07,EG.5.1.4
SRR27199990,2023-09-05,XCH
SRR27199991,2023-09-05,GY.6
SRR27199992,2023-09-04,XBB.1.5.10
SRR27199994,2023-09-10,HK.3.12
SRR27199996,2023-09-06,XBB.1.16.26
SRR27199997,2023-09-11,XBB.1.16.12
SRR27199998,2023-09-08,HV.1
SRR27200001,2023-09-18,GK.1.1
SRR27200003,2023-09-11,EG.5.1.1
SRR27200004,2023-09-13,GJ.1.2.5
SRR27200006,2023-09-05,HZ.1
SRR27200008,2023-09-03,EG.5.1.3
SRR27200010,2023-09-13,FL.1.5.1
SRR27200011,2023-09-12,EG.5.1.1
SRR27200022,2023-09-05,HF.1
SRR27715372,2023-10-31,JN.1.1
SRR28116798,2023-10-26,HV.1
SRR28116850,2023-10-30,HV.1
SRR28116851,2023-10-27,JF.1
SRR28116852,2023-10-31,XBB.1.16
SRR28116853,2023-10-29,EG.5.1
SRR28116854,2023-10-29,EG.5.1.6
SRR28116855,2023-10-29,HK.29
SRR28116856,2023-10-29,EG.5.1.1
SRR28116857,2023-10-29,EG.5.1.4
SRR28116858,2023-10-27,HV.1
SRR28116859,2023-10-27,HV.1.1
SRR28116860,2023-10-27,HK.8.1
SRR28116861,2023-10-27,HV.1
SRR28116862,2023-10-24,JF.1
SRR28116863,2023-10-25,FU.1
SRR28116864,2023-10-26,HK.26
SRR28116865,2023-10-26,XBB.1.16.6
SRR28116866,2023-10-26,HK.20.1
SRR28116867,2023-10-24,HK.8.1
SRR28116868,2023-10-22,FD.4
SRR28116869,2023-10-19,EG.5.1
SRR28116870,2023-10-21,HV.1
SRR28116871,2023-10-17,HV.1
SRR28116872,2023-10-13,EG.5.1.1
SRR28116873,2023-10-08,HV.1
SRR28116874,2023-10-08,EG.5.1.1
SRR28116875,2023-10-15,EG.5.1.6
SRR28116876,2023-10-10,FL.1.5.1
SRR28116877,2023-10-06,HK.3
SRR28116878,2023-10-02,FL.1.5.1
SRR28116879,2023-10-06,EG.5.1.4
SRR28116880,2023-10-04,FL.20
SRR28116881,2023-10-02,HV.1
SRR28116882,2023-10-03,XBB.1.16.6
SRR28116883,2023-10-01,XBB.1.16.11
SRR28116884,2023-10-01,FL.10.1
SRR28116885,2023-09-30,HS.1
SRR28116886,2023-10-02,EG.5.1
SRR28116887,2023-09-25,XBB.1
SRR28116888,2023-09-25,XBB.1.16.1
SRR28116889,2023-09-26,HV.1
SRR28116890,2023-09-26,EG.5.1.4
SRR28116891,2023-10-17,XBB.1.16.31
SRR28116892,2023-10-17,GK.3.1
SRR28116893,2023-10-18,XBB.1.16.15
SRR28116894,2023-09-13,XBB.1.16.14
SRR28116895,2023-09-12,XBB.1.16.6
SRR28116896,2023-09-12,EG.4
SRR28116898,2023-09-12,EG.5.1
SRR28116899,2023-09-12,GE.1
SRR28116900,2023-09-13,XBB.1.16.11
SRR28116901,2023-09-11,XBB.1.16
SRR28116902,2023-09-13,GJ.1.2.6
SRR28116903,2023-09-01,XBB.1.22
SRR28116904,2023-09-12,XBB.2.3.11
SRR28116905,2023-09-12,FL.1.5.1
SRR28116906,2023-09-12,XBB.2.3.11
SRR28116907,2023-09-08,FE.1.2
SRR28116908,2023-09-22,XBB.1.16.6
SRR28116909,2023-09-22,XBB.1.16.6
SRR28116910,2023-09-22,FL.1.5.1
SRR28116911,2023-09-22,XBB.1.16
SRR28116912,2023-09-29,XBB.1.16.6
SRR28116913,2023-09-29,HK.31
SRR28116914,2023-09-30,XBB.1.16.1
